title,image,state,tags,,primaryTopic,location,address,Postleitzahl,city,latitude,longitude,responsible,website,email,contact,phone,facebook,lastEditDate,mobile,proposalFor,resubmissionDate,resubmissionNotification,twitter,whatsapp,apiKeyUsed,instagram,location_ref,projectEndDate,projectStartDate,telegram,vimeo,youtube,id,brief.de,brief.en,description.de,description.en,hours.de,hours.en,proposals,sponsors,domain,PLZ,Bezirk,Stadtteil
Ausbildung zum Glas- und Gebäudereiniger/in,,public,"young,disability_background,reinickendorf,educational_center,wheelchair,german,o_ri_inggmh,education,labour,service",0,labour,,Lengeder Straße 48,13407,Berlin,52.5826566,13.3581692,Integra gGmbH,https://www.integra-berlin.de/ausbildung/glas-und-gebaeudereiniger-in/,rs@integra-berlin.de,Herr Gerhardt,+493041407324,,2024-01-12T09:04:56.324,,,,,,,false,,8c75a2ba61aceb13,,,,,,9749276938bd792e,von der Handwerkskammer anerkannter Handwerksberuf mit dualer Ausbildung,[DeepL:] Craft recognized by the Chamber of Crafts and Trades with dual training,"Die integra gGmbH bietet die Möglichkeit einer dualen Ausbildung zum Glas- und Gebäudereiniger/in.
Glas- und Gebäudereiniger/innen sind für die Unterhaltsreinigung und zahlreiche weitere Bereiche zuständig. Sie säubern Schreibtische, Schränke und Böden, saugen die Teppiche, leeren Abfalleimer, reinigen die sanitären Anlagen und vieles mehr.
Gebäudereiniger/in ist ein von der Handwerkskammer anerkannter Handwerksberuf mit dualer Ausbildung, für den viele spezielle Fachkenntnisse von Nöten sind. Dabei geht es um weitaus mehr als um Sauberkeit, vielmehr geht es um Hygiene.
Für die Ausbildung wird mindestens die erweiterte Berufsbildungsreife (eBBR) benötigt. Besser ist ein mittlerer Schulabschluss (MSA). Gerade aufgrund der häufig wechselnden Einsatzorte als Glas- und Gebäudereiniger/in ist ein Führerschein unbedingt sinnvoll. (Wir unterstützen Sie bei der Finanzierung der Fahrerlaubnis B). Mehr zu dem Berufsbild und der Ausbildung erfahren Sie direkt bei integra.","[DeepL:] integra gGmbH offers the possibility of dual training as a glass and building cleaner.
Glass and building cleaners are responsible for maintenance cleaning and numerous other areas. They clean desks, cupboards and floors, vacuum carpets, empty waste garbage cans, clean sanitary facilities and much more.
Building cleaners are a trade recognized by the Chamber of Crafts with dual training, for which many special skills are needed. It is about much more than cleanliness, it is about hygiene.
For the training, at least the extended vocational training maturity (eBBR) is required. An intermediate school leaving certificate (MSA) is better. A driver's license is absolutely essential, especially because of the frequently changing work locations as a glass and building cleaner. (We will support you in financing the B driving license). You can find out more about the job description and training directly from integra.",,,,,integra-berlin.de,13407,Mitte-Wedding-Tiergarten,Wedding
Ausbildung zum Glas- und Gebäudereiniger/in,,public,"young,disability_background,reinickendorf,educational_center,wheelchair,german,o_ri_inggmh,education,labour,service",1,labour,,Lengeder Straße 48,13407,Berlin,52.5826566,13.3581692,Integra gGmbH,https://www.integra-berlin.de/ausbildung/glas-und-gebaeudereiniger-in/,rs@integra-berlin.de,Herr Gerhardt,+493041407324,,2024-01-12T09:04:56.324,,,,,,,false,,8c75a2ba61aceb13,,,,,,9749276938bd792e,von der Handwerkskammer anerkannter Handwerksberuf mit dualer Ausbildung,[DeepL:] Craft recognized by the Chamber of Crafts and Trades with dual training,"Die integra gGmbH bietet die Möglichkeit einer dualen Ausbildung zum Glas- und Gebäudereiniger/in.
Glas- und Gebäudereiniger/innen sind für die Unterhaltsreinigung und zahlreiche weitere Bereiche zuständig. Sie säubern Schreibtische, Schränke und Böden, saugen die Teppiche, leeren Abfalleimer, reinigen die sanitären Anlagen und vieles mehr.
Gebäudereiniger/in ist ein von der Handwerkskammer anerkannter Handwerksberuf mit dualer Ausbildung, für den viele spezielle Fachkenntnisse von Nöten sind. Dabei geht es um weitaus mehr als um Sauberkeit, vielmehr geht es um Hygiene.
Für die Ausbildung wird mindestens die erweiterte Berufsbildungsreife (eBBR) benötigt. Besser ist ein mittlerer Schulabschluss (MSA). Gerade aufgrund der häufig wechselnden Einsatzorte als Glas- und Gebäudereiniger/in ist ein Führerschein unbedingt sinnvoll. (Wir unterstützen Sie bei der Finanzierung der Fahrerlaubnis B). Mehr zu dem Berufsbild und der Ausbildung erfahren Sie direkt bei integra.","[DeepL:] integra gGmbH offers the possibility of dual training as a glass and building cleaner.
Glass and building cleaners are responsible for maintenance cleaning and numerous other areas. They clean desks, cupboards and floors, vacuum carpets, empty waste garbage cans, clean sanitary facilities and much more.
Building cleaners are a trade recognized by the Chamber of Crafts with dual training, for which many special skills are needed. It is about much more than cleanliness, it is about hygiene.
For the training, at least the extended vocational training maturity (eBBR) is required. An intermediate school leaving certificate (MSA) is better. A driver's license is absolutely essential, especially because of the frequently changing work locations as a glass and building cleaner. (We will support you in financing the B driving license). You can find out more about the job description and training directly from integra.",,,,,integra-berlin.de,13407,Reinickendorf,Reinickendorf
Ausbildung zum Glas- und Gebäudereiniger/in,,public,"young,disability_background,reinickendorf,educational_center,wheelchair,german,o_ri_inggmh,education,labour,service",2,labour,,Lengeder Straße 48,13407,Berlin,52.5826566,13.3581692,Integra gGmbH,https://www.integra-berlin.de/ausbildung/glas-und-gebaeudereiniger-in/,rs@integra-berlin.de,Herr Gerhardt,+493041407324,,2024-01-12T09:04:56.324,,,,,,,false,,8c75a2ba61aceb13,,,,,,9749276938bd792e,von der Handwerkskammer anerkannter Handwerksberuf mit dualer Ausbildung,[DeepL:] Craft recognized by the Chamber of Crafts and Trades with dual training,"Die integra gGmbH bietet die Möglichkeit einer dualen Ausbildung zum Glas- und Gebäudereiniger/in.
Glas- und Gebäudereiniger/innen sind für die Unterhaltsreinigung und zahlreiche weitere Bereiche zuständig. Sie säubern Schreibtische, Schränke und Böden, saugen die Teppiche, leeren Abfalleimer, reinigen die sanitären Anlagen und vieles mehr.
Gebäudereiniger/in ist ein von der Handwerkskammer anerkannter Handwerksberuf mit dualer Ausbildung, für den viele spezielle Fachkenntnisse von Nöten sind. Dabei geht es um weitaus mehr als um Sauberkeit, vielmehr geht es um Hygiene.
Für die Ausbildung wird mindestens die erweiterte Berufsbildungsreife (eBBR) benötigt. Besser ist ein mittlerer Schulabschluss (MSA). Gerade aufgrund der häufig wechselnden Einsatzorte als Glas- und Gebäudereiniger/in ist ein Führerschein unbedingt sinnvoll. (Wir unterstützen Sie bei der Finanzierung der Fahrerlaubnis B). Mehr zu dem Berufsbild und der Ausbildung erfahren Sie direkt bei integra.","[DeepL:] integra gGmbH offers the possibility of dual training as a glass and building cleaner.
Glass and building cleaners are responsible for maintenance cleaning and numerous other areas. They clean desks, cupboards and floors, vacuum carpets, empty waste garbage cans, clean sanitary facilities and much more.
Building cleaners are a trade recognized by the Chamber of Crafts with dual training, for which many special skills are needed. It is about much more than cleanliness, it is about hygiene.
For the training, at least the extended vocational training maturity (eBBR) is required. An intermediate school leaving certificate (MSA) is better. A driver's license is absolutely essential, especially because of the frequently changing work locations as a glass and building cleaner. (We will support you in financing the B driving license). You can find out more about the job description and training directly from integra.",,,,,integra-berlin.de,13407,Reinickendorf,Wittenau inkl. Borsigwalde
Seidenmalerei,,public,"friedrichshain_kreuzberg,meeting_center,wheelchair,german,o_ri_integral,arts,recreation,service",3,arts,,Marchlewskistraße 25e,10243,Berlin,52.51514719999999,13.4437045,Integral e.V.,https://www.integral-berlin.de/integral/begegnungszentrum/offene-freizeitangebote/,info@integral-bgz.de,"Andreas Kirsche &
Charlotte Romanski",+49302960968,https://www.facebook.com/integralberlin/,2024-01-12T09:03:45.116,,,,,,,false,,d8a1c4f28e672a7d,,,,,,9aab97e56c0b1863,Seidenmalerei für alle,[DeepL:] Silk painting for all,"Seidenmalerei macht sehr viel Spaß. Die schönsten Effekte kannst du erzielen, wenn du die Farben ineinander laufen lässt. Durch eine Vielzahl an Farbkombinationen gibt es hier nahezu unendliche Möglichkeiten.
Du kannst frei gestalten oder unter Anleitung deine Motive seidig glänzend darstellen. Die Kurse werden im Integral Begegnungszentrum angeboten. Die offenen Kursangebot sind das Herzstück unserer Arbeit. Die Kurse finden in unseren rollstuhlgerechten Räumen statt und die Arbeitsräume sind entsprechend den Kursinhalten ausgestattet. Geleitet werden die Angebote von unseren Mitarbeitenden und ehrenamtlichen Helfer*innen. Es ist keine Anmeldung nötig und die Kurse stehen allen Menschen offen. Die Teilnahme an einem Kurs kostet 1,00 € und es können noch Materialkosten anfallen.

Du möchtest mit uns reden? Ruf uns an! Montag bis Freitag sind wir von 10.00 – 13.00 Uhr erreichbar. Unsere Telefonnummer ist 030 296 09 68","[DeepL:] Silk painting is a lot of fun. You can achieve the most beautiful effects when you let the colors run into each other. Through a variety of color combinations, there are almost endless possibilities here.
You can create freely or under guidance your motifs silky shiny. The courses are offered at the Integral Begegnungszentrum. The open courses are the heart of our work. The courses take place in our wheelchair accessible rooms and the workrooms are equipped according to the course content. The courses are led by our staff and volunteers. No registration is necessary and the courses are open to everyone. Participation in a course costs € 1.00 and there may be material costs.

You want to talk to us? Call us! Monday to Friday we are available from 10.00 - 13.00. Our phone number is 030 296 09 68","Angebotszeiten: 
16.00 bis 18.00

Kontakt- oder Öffnungszeiten: 
Montags bis freitags 16.00 - 18.00 Uhr","[DeepL:] Offer times:
16.00 - 18.00

Contact or opening hours:
Mondays to Fridays 16.00 - 18.00",,,integral-bgz.de,10243,Friedrichshain-Kreuzberg,Friedrichshain
Advent-Wohlfahrtswerk Seniorenheim Steglitz gGmbH,,public,"german,senior_citizens,steglitz_zehlendorf,wheelchair,retirement_home,housing,o_ri_advwss,service",4,housing,,Grunewaldstraße 39,12165,Berlin,52.4598545,13.3104025,Advent-Wohlfahrtswerk Seniorenheim Steglitz gGmbH,https://seniorenheim-steglitz.de/,seniorenheim.steglitz@aww.info,,+4930797429810,,2023-05-04T21:14:42.704,,,,,,,false,,,,,,,,b1c5c371a17bf92d,"modernes Seniorenheim für pflegebedürftige Menschen, im Herzen von Steglitz","[DeepL:] modern retirement home for people in need of care, in the heart of Steglitz","Unser 2003 errichtetes, modernes Seniorenheim liegt im Herzen von Steglitz, unweit des Botanischen Gartens, der somit ein beliebtes Ausflugsziel für unsere Bewohner darstellt.

Pflegebedürftige Menschen finden bei uns ein freundliches und liebevolles Zuhause. Mit 42 Einbett- und 6 Zweibettzimmern bietet das Heim eine familiäre, sehr persönliche Atmosphäre, wo Anonymität ein Fremdwort ist und eine enge Beziehung zwischen dem Personal und den Bewohnern bzw. deren Angehörigen und Betreuern besteht.

Auf unserem Gelände befindet sich eine sehr schöne Gartenanlage mit kleinem Teich, Sitzmöglichkeiten, Sonnenschirmen und Rabatten, was unwillkürlich zum Verweilen an der frischen Luft einlädt.","[DeepL:] Our modern retirement home, built in 2003, is located in the heart of Steglitz, not far from the Botanical Garden, which is thus a popular destination for our residents.

People in need of care will find a friendly and loving home with us. With 42 one-bed and 6 two-bed rooms, the home offers a familiar, very personal atmosphere where anonymity is a foreign word and there is a close relationship between the staff and the residents or their relatives and caregivers.

On our premises there is a very beautiful garden with a small pond, seating, sunshades and borders, which involuntarily invites you to linger in the fresh air.",,,,,aww.info,12165,Steglitz-Zehlendorf,Steglitz
KIDZ United – Wir VEREINen!,,public,"german,young,tempelhof_schoeneberg,youth_facility,sports,recreation,o_ri_kidzev,service",5,sports,Turnhalle der Allegro-Grundschule,Lützowstraße 83-85,10785,Berlin,52.5030147,13.3627766,KIDZ e.V.,https://www.kidz-mitte.de/project/kidz-united-wir-vereinen/,reinhold@kidz-mitte.de,,+493023003116,,2023-05-04T21:14:42.747,,,,,,,false,,,,,,,,1b85722681f27b30,wöchentlich stattfindendes Fußballtraining für Jungs zwischen 9 und 12 Jahren,[DeepL:] weekly soccer training for boys between 9 and 12 years old,"Durch das Training und die Begleitung durch Pädagogen zu Vereinen wird an folgenden Zielen gearbeitet:

* Verselbstständigung der Kinder
* Umgang mit Frust
* Teamfähigkeit
* Erfolgserfahrungen
* Steigerung des Selbstbewusstseins
* Aktivierung von Eltern
* Verbesserung der sportlichen Fähigkeiten
* und vieles mehr…

Durch intensive Elternarbeit, Kontaktaufbau zu Fußballvereinen, Wegetraining und Trainingsbegleitung, aber auch ein wöchentlich stattfindendes Training schafft KIDZ United eine Brücke zwischen Straßen- und Vereinsfußball. Anfänglich ehrenamtlich von KIDZ e.V. angeboten wird das Projekt nun von der DFL Stiftung finanziert. Das Training wird durch zwei Pädagogen begleitet, welche mit den Kindern während des Sports an wichtigen Schlüsselqualifikationen, wie zum Beispiel den Umgang mit Frust, arbeiten","[DeepL:] Through training and accompaniment by educators to clubs, the following goals are worked on:

* Making the children independent
* Dealing with frustration
* ability to work in a team
* Experience of success
* Increase of self-confidence
* Activation of parents
* improvement of athletic skills
* and much more...

KIDZ United creates a bridge between street and club soccer through intensive work with parents, contact building with soccer clubs, pathway training and training support, as well as a weekly training session. Initially offered on a voluntary basis by KIDZ e.V., the project is now financed by the DFL Foundation. The training is accompanied by two educators, who work with the children during the sport on important key skills, such as dealing with frustration.","Angebotszeiten: 
Donnerstags,16.00 bis 18.00 Uhr

Kontakt- oder Öffnungszeiten: 
Montags bis freitags 9.00 - 15.00","[DeepL:] Offer times:
Thursdays,16.00 to 18.00

Contact or opening hours:
Mondays to Fridays 9.00 - 15.00",,,kidz-mitte.de,10785,Friedrichshain-Kreuzberg,Kreuzberg
KIDZ United – Wir VEREINen!,,public,"german,young,tempelhof_schoeneberg,youth_facility,sports,recreation,o_ri_kidzev,service",6,sports,Turnhalle der Allegro-Grundschule,Lützowstraße 83-85,10785,Berlin,52.5030147,13.3627766,KIDZ e.V.,https://www.kidz-mitte.de/project/kidz-united-wir-vereinen/,reinhold@kidz-mitte.de,,+493023003116,,2023-05-04T21:14:42.747,,,,,,,false,,,,,,,,1b85722681f27b30,wöchentlich stattfindendes Fußballtraining für Jungs zwischen 9 und 12 Jahren,[DeepL:] weekly soccer training for boys between 9 and 12 years old,"Durch das Training und die Begleitung durch Pädagogen zu Vereinen wird an folgenden Zielen gearbeitet:

* Verselbstständigung der Kinder
* Umgang mit Frust
* Teamfähigkeit
* Erfolgserfahrungen
* Steigerung des Selbstbewusstseins
* Aktivierung von Eltern
* Verbesserung der sportlichen Fähigkeiten
* und vieles mehr…

Durch intensive Elternarbeit, Kontaktaufbau zu Fußballvereinen, Wegetraining und Trainingsbegleitung, aber auch ein wöchentlich stattfindendes Training schafft KIDZ United eine Brücke zwischen Straßen- und Vereinsfußball. Anfänglich ehrenamtlich von KIDZ e.V. angeboten wird das Projekt nun von der DFL Stiftung finanziert. Das Training wird durch zwei Pädagogen begleitet, welche mit den Kindern während des Sports an wichtigen Schlüsselqualifikationen, wie zum Beispiel den Umgang mit Frust, arbeiten","[DeepL:] Through training and accompaniment by educators to clubs, the following goals are worked on:

* Making the children independent
* Dealing with frustration
* ability to work in a team
* Experience of success
* Increase of self-confidence
* Activation of parents
* improvement of athletic skills
* and much more...

KIDZ United creates a bridge between street and club soccer through intensive work with parents, contact building with soccer clubs, pathway training and training support, as well as a weekly training session. Initially offered on a voluntary basis by KIDZ e.V., the project is now financed by the DFL Foundation. The training is accompanied by two educators, who work with the children during the sport on important key skills, such as dealing with frustration.","Angebotszeiten: 
Donnerstags,16.00 bis 18.00 Uhr

Kontakt- oder Öffnungszeiten: 
Montags bis freitags 9.00 - 15.00","[DeepL:] Offer times:
Thursdays,16.00 to 18.00

Contact or opening hours:
Mondays to Fridays 9.00 - 15.00",,,kidz-mitte.de,10785,Mitte-Wedding-Tiergarten,Tiergarten
KIDZ United – Wir VEREINen!,,public,"german,young,tempelhof_schoeneberg,youth_facility,sports,recreation,o_ri_kidzev,service",7,sports,Turnhalle der Allegro-Grundschule,Lützowstraße 83-85,10785,Berlin,52.5030147,13.3627766,KIDZ e.V.,https://www.kidz-mitte.de/project/kidz-united-wir-vereinen/,reinhold@kidz-mitte.de,,+493023003116,,2023-05-04T21:14:42.747,,,,,,,false,,,,,,,,1b85722681f27b30,wöchentlich stattfindendes Fußballtraining für Jungs zwischen 9 und 12 Jahren,[DeepL:] weekly soccer training for boys between 9 and 12 years old,"Durch das Training und die Begleitung durch Pädagogen zu Vereinen wird an folgenden Zielen gearbeitet:

* Verselbstständigung der Kinder
* Umgang mit Frust
* Teamfähigkeit
* Erfolgserfahrungen
* Steigerung des Selbstbewusstseins
* Aktivierung von Eltern
* Verbesserung der sportlichen Fähigkeiten
* und vieles mehr…

Durch intensive Elternarbeit, Kontaktaufbau zu Fußballvereinen, Wegetraining und Trainingsbegleitung, aber auch ein wöchentlich stattfindendes Training schafft KIDZ United eine Brücke zwischen Straßen- und Vereinsfußball. Anfänglich ehrenamtlich von KIDZ e.V. angeboten wird das Projekt nun von der DFL Stiftung finanziert. Das Training wird durch zwei Pädagogen begleitet, welche mit den Kindern während des Sports an wichtigen Schlüsselqualifikationen, wie zum Beispiel den Umgang mit Frust, arbeiten","[DeepL:] Through training and accompaniment by educators to clubs, the following goals are worked on:

* Making the children independent
* Dealing with frustration
* ability to work in a team
* Experience of success
* Increase of self-confidence
* Activation of parents
* improvement of athletic skills
* and much more...

KIDZ United creates a bridge between street and club soccer through intensive work with parents, contact building with soccer clubs, pathway training and training support, as well as a weekly training session. Initially offered on a voluntary basis by KIDZ e.V., the project is now financed by the DFL Foundation. The training is accompanied by two educators, who work with the children during the sport on important key skills, such as dealing with frustration.","Angebotszeiten: 
Donnerstags,16.00 bis 18.00 Uhr

Kontakt- oder Öffnungszeiten: 
Montags bis freitags 9.00 - 15.00","[DeepL:] Offer times:
Thursdays,16.00 to 18.00

Contact or opening hours:
Mondays to Fridays 9.00 - 15.00",,,kidz-mitte.de,10785,Tempelhof-Schöneberg,Schöneberg
Medienkompetenz für Alle!,,public,"women,young,friedrichshain_kreuzberg,multigenerational_house,german,o_ri_formatwe,education,neighborhood,recreation,service",8,education,Mehrgenerationenhaus Wassertor,Wassertor Straße 48,10969,Berlin,52.5004472,13.4055844,Formatwechsel e.V,https://www.formatwechsel-berlin.de/offene-computer-werkstatt-medienkompetenz-fuer-alle/,info@formatwechsel-berlin.de,,+493026585739,https://www.facebook.com/Formatwechsel-Medienwerkstatt-eV-129334383781623/,2024-01-12T08:29:19.491,,,,,,,false,,db25b1062cbe0882,,,,,,2c3442097d6b99b5,"Offene Frauen-Computer-Werkstatt Hilfe zu Homeschooling, Videokonferenzen, Social Media","[DeepL:] Open Women's Computer Workshop Help on homeschooling, video conferencing, social media.","Die Teilnehmer\*innen lernen die Grundlagen des Computers (Bildschirm, Maus, Tastatur) und den Umgang mit Ordnerstrukturen und Dateien kennen. Sie erstellen mit Hilfe von Open Office kleine Texte für ihre eigenen Bedürfnisse.
Darüber hinaus werden sie zur Internetrecherche angeleitet, in die digitale Kommunikation (Videokonferenzen) z.B. mit Zoom und Jitsi eingeführt und lernen mit digitalen Arbeits-Plattformen, wie der Anton App oder dem Berliner Lernraum im Rahmen des Homeschooling umzugehen.1 x in der Woche Computer-Werkstatt, sowie begleitete Online-Learning – Angebote.  Werkstätten für Anfänger\*innen und Fortgeschrittene. Das Projekt wird von Formatwechsel e.V. in Kooperation mit dem Mehrgenerationenhaus Wassertor e.V. angeboten. Gefördert durch das Bezirksamt Friedrichshain-Kreuzberg.","[DeepL:] The participants learn the basics of the computer (screen, mouse, keyboard) and the handling of folder structures and files. They create small texts for their own needs with the help of Open Office.
In addition, they are instructed in Internet research, introduced to digital communication (video conferencing), e.g. with Zoom and Jitsi, and learn how to use digital work platforms such as the Anton App or the Berlin Learning Room in the context of homeschooling.  Workshops for beginners and advanced learners. The project is offered by Formatwechsel e.V. in cooperation with the Mehrgenerationenhaus Wassertor e.V.. Funded by the district office Friedrichshain-Kreuzberg.","Angebotszeiten: 
Freitags, 9.00 bis 12.00 Uhr","[DeepL:] Offering hours:
Fridays, 9.00 a.m. to 12.00 p.m.",,,formatwechsel-berlin.de,10969,Friedrichshain-Kreuzberg,Kreuzberg
Sprachcafé im Stadtteilzentrum Campus Kiezspindel,,public,"german,refugee_background,treptow_koepenik,o_ri_offint,education,neighborhood,recreation,service",9,education,Stadtteilzentrum Campus Kiezspindel,Rudower Straße 37,12557,Berlin,52.4437778,13.5641841,Offensiv91 (Interaxion),http://interaxion-tk.de/index.php/de/blog/teilhabe-und-begegnung/284-sprachcafe-auf-dem-campus-kiezspindel-2-und-4-mittwoch-im-monat,interaxion@offensiv91.de,,,https://www.facebook.com/interaxiontk,2023-05-04T21:14:43.184,015773151386,,,,https://twitter.com/zfdtreptowkoep,,false,,,,,,,,e345e122942d2968,"Sprachcafé für alle, Deutsch-Lernen","[DeepL:] Language café for all, German learning","Wir laden Deutsch-Lernende und Deutsch-Muttersprachler:innen ein: Jeden 2. und 4. Mittwoch treffen wir uns von 18:30 bis 21:00 Uhr zum gemeinsamen Deutschsprechen auf dem Campus Kiezspindel.
Außerdem  machen wir jedes Mal zusammen Kunst. Von Guy wir lernen verschiedene einfache Techniken, um sich auszudrücken: Collagen, Postkarten, Zeichnen, Arbeit mit Farben, ... Jedes Mal gibt es ein Thema, zu dem wir uns unterhalten. Ihr könnt aber auch zusammen für Prüfungen lernen oder den Raum nutzen, Euch mit Freund:innen zu treffen. EIn Projekt von Campus Kiezspindel, Offensiv 91 und interaxion. Gefördert vom Bezirksamt Treptow-Köpenick","[DeepL:] We invite German learners and native German speakers: Every 2nd and 4th Wednesday we meet from 18:30 to 21:00 to speak German together on the Campus Kiezspindel.
We also make art together every time. From Guy we learn different simple techniques to express ourselves: collages, postcards, drawing, working with colors, ... Each time there is a theme on which we talk. You can also study together for exams or use the space to meet with friends. A project of Campus Kiezspindel, Offensiv 91 and interaxion. Supported by the district office of Treptow-Köpenick.","Angebotszeiten: 
Mittwochs 18.30 bis 21.00 Uhr","[DeepL:] Offer times:
Wednesdays 18:30 to 21:00",,,offensiv91.de,12557,Treptow-Köpenick,Köpenick
